x3,y3,x4,y4,x5,y5,x6,y6,Digit
0,29,28,0,77,15,100,57,0
0,59,19,17,61,0,97,24,0
0,42,30,0,82,6,100,56,0
0,59,12,13,67,0,100,37,0
0,39,3,0,61,7,100,38,0
0,35,22,0,73,17,100,58,0
4,36,42,0,95,25,100,77,0
0,63,15,16,62,0,100,30,0
0,30,34,0,79,32,100,76,0
0,41,13,0,60,3,99,30,0
0,59,1,17,38,0,77,13,0
0,34,31,0,80,28,100,75,0
0,35,6,0,58,0,97,25,0
26,0,100,43,88,100,13,58,0
0,39,6,0,63,2,100,33,0
0,32,24,0,76,18,100,56,0
1,33,24,0,74,23,100,65,0
0,0,52,9,100,57,82,100,0
29,0,100,54,61,95,0,39,0
0,36,20,0,75,25,100,64,0
0,50,22,1,78,0,100,47,0
10,49,0,8,58,0,100,31,0
0,37,16,0,70,23,100,61,0
0,36,19,0,72,14,100,58,0
0,43,13,0,86,34,100,84,0
24,30,56,0,100,43,90,94,0
27,0,100,50,61,100,0,38,0
0,52,7,13,57,0,99,26,0
9,70,0,31,28,0,78,11,0
0,42,10,0,70,16,100,56,0
0,55,3,15,51,0,94,24,0
0,60,10,8,62,0,100,37,0
0,66,9,18,60,0,100,33,0
8,65,0,23,40,0,88,21,0
0,44,2,0,61,2,100,40,0
23,67,0,29,19,0,69,16,0
1,63,0,9,53,0,100,30,0
14,50,0,18,42,0,88,20,0
13,67,0,25,41,0,91,16,0
0,88,8,70,15,53,15,35,1
75,71,58,57,58,42,33,28,1
0,85,0,68,13,51,20,34,1
80,76,65,61,50,45,40,30,1
57,75,36,60,14,44,0,29,1
25,72,19,58,12,43,6,28,1
79,80,50,64,36,48,14,31,1
93,80,82,63,71,46,46,30,1
89,79,78,63,56,47,33,31,1
39,84,24,67,15,50,9,33,1
72,90,100,100,76,75,50,51,1
100,100,81,80,60,60,40,40,1
78,87,100,100,91,75,85,49,1
100,100,91,80,72,60,53,40,1
67,84,100,100,94,82,80,54,1
62,100,72,86,77,65,79,43,1
80,100,100,92,80,69,65,46,1
59,72,86,94,100,100,80,68,1
64,79,95,100,100,85,81,57,1
79,94,100,100,85,74,75,48,1
97,100,91,55,84,10,21,0,1
95,80,100,64,95,48,82,31,1
93,96,100,100,71,75,48,50,1
64,100,62,78,70,57,83,36,1
64,100,85,99,85,74,89,49,1
90,100,100,89,100,67,92,44,1
71,91,100,100,82,74,68,48,1
61,82,92,100,100,84,86,56,1
65,85,100,100,84,75,65,51,1
48,82,100,100,97,78,72,51,1
63,78,100,100,90,75,88,50,1
50,100,50,62,52,23,4,2,1
76,94,100,100,75,75,53,49,1
100,100,84,80,71,59,58,37,1
42,83,79,100,100,98,81,66,1
68,78,100,100,94,76,80,51,1
74,99,100,100,78,75,53,50,1
74,100,69,74,72,49,79,23,1
82,100,100,90,86,65,70,39,1
100,100,91,84,65,62,47,40,1
62,100,54,64,47,28,12,0,1
100,100,95,87,76,65,67,43,1
27,80,26,35,4,4,12,0,1
96,100,91,75,69,45,51,16,1
100,79,100,64,91,48,82,32,1
90,99,100,100,87,75,78,50,1
73,90,100,100,98,74,96,48,1
62,90,100,100,86,74,68,49,1
84,100,100,88,89,66,79,44,1
67,80,100,100,96,80,83,53,1
46,79,89,100,100,85,78,57,1
91,96,100,100,78,75,62,49,1
66,82,100,100,94,75,85,50,1
68,83,100,100,77,75,61,50,1
100,100,84,75,71,42,64,9,1
62,76,100,100,81,79,57,53,1
100,100,76,81,60,61,44,40,1
81,100,100,99,96,72,88,45,1
72,75,100,100,83,80,61,54,1
100,100,91,85,88,51,89,16,1
92,100,100,85,81,64,61,42,1
78,100,100,95,76,71,49,47,1
63,76,94,100,100,84,86,55,1
100,100,87,95,87,71,87,47,1
66,86,100,100,94,77,79,52,1
72,100,66,65,63,29,31,0,1
51,91,43,52,46,13,100,7,1
78,100,100,86,98,63,92,42,1
73,77,100,100,81,77,61,52,1
56,83,100,100,94,75,75,50,1
85,99,100,100,85,75,76,50,1
90,100,100,97,84,72,68,47,1
66,85,100,100,72,75,47,51,1
57,79,100,100,92,78,70,52,1
51,81,89,100,100,80,86,53,1
79,96,100,100,95,74,87,49,1
49,64,76,79,100,100,84,73,1
70,77,100,100,95,78,84,51,1
87,100,100,92,86,69,76,46,1
86,91,100,100,95,75,92,50,1
91,100,100,90,78,67,56,45,1
80,100,100,91,100,66,91,40,1
100,100,90,80,73,60,57,40,1
60,85,97,100,100,82,74,56,1
82,100,76,88,65,63,70,38,1
62,78,100,100,100,80,95,52,1
90,100,100,93,69,71,44,47,1
79,100,93,99,93,73,97,46,1
80,100,60,82,52,57,60,33,1
47,63,76,88,100,100,79,68,1
70,100,63,74,57,37,48,0,1
62,83,100,100,87,87,67,59,1
67,79,100,100,100,88,81,59,1
32,100,33,65,36,29,3,0,1
64,97,56,64,52,30,4,5,1
76,100,100,99,87,71,64,44,1
87,91,100,100,87,75,77,50,1
69,100,100,95,84,72,62,47,1
80,100,100,98,80,73,58,48,1
75,73,100,100,71,82,43,55,1
72,76,100,100,82,79,62,52,1
61,83,99,100,100,83,74,56,1
56,82,93,100,100,86,75,58,1
76,74,100,100,92,87,82,58,1
70,79,100,100,86,76,70,51,1
27,100,26,64,24,28,3,0,1
53,77,85,100,100,88,86,57,1
81,100,100,95,81,70,57,45,1
85,97,100,100,98,75,93,50,1
87,96,100,100,78,75,54,50,1
100,100,94,96,85,72,81,48,1
61,83,100,100,89,75,72,50,1
71,75,100,100,82,76,59,51,1
60,100,59,52,53,5,16,1,1
68,76,100,100,95,76,89,50,1
76,95,100,100,87,75,72,50,1
82,100,100,95,86,70,75,44,1
66,79,100,100,90,79,66,53,1
70,100,57,61,48,22,7,0,1
27,86,24,43,8,4,6,0,1
67,100,81,83,81,57,88,31,1
69,86,81,100,72,72,72,44,1
78,89,100,100,77,75,53,49,1
70,83,70,67,70,50,80,33,1
77,93,100,100,77,75,56,50,1
63,81,100,100,84,74,63,49,1
100,100,92,82,75,60,62,38,1
63,83,100,100,97,78,81,53,1
77,95,100,100,70,75,45,50,1
69,91,100,100,80,75,59,51,1
82,99,100,100,73,75,39,50,1
100,100,87,86,58,65,39,44,1
65,87,100,100,87,75,75,51,1
69,78,100,100,95,94,70,64,1
74,100,68,54,59,9,5,1,1
86,100,91,93,88,70,87,46,1
100,100,75,79,50,59,25,39,1
67,100,68,54,70,7,11,1,1
45,100,35,64,38,28,7,0,1
100,62,88,95,74,100,74,67,1
68,100,51,85,53,59,58,33,1
78,88,100,100,82,74,69,49,1
80,90,100,100,98,75,98,50,1
61,84,100,100,90,77,70,51,1
79,98,71,54,71,12,9,1,1
100,100,96,87,71,64,46,43,1
100,100,91,81,77,60,55,38,1
58,100,78,99,78,74,78,49,1
69,76,100,100,86,88,69,60,1
84,97,100,100,91,75,81,50,1
66,79,100,100,76,76,53,51,1
81,98,79,50,85,0,27,0,1
70,79,100,100,82,74,69,47,1
79,90,100,100,86,74,70,49,1
100,100,86,84,75,63,67,42,1
100,100,85,91,75,63,75,36,1
64,100,54,66,49,32,33,0,1
67,70,100,100,91,94,69,63,1
74,85,100,100,79,76,62,51,1
59,75,100,100,92,80,69,54,1
78,70,100,100,88,86,66,56,1
73,69,100,100,88,94,73,63,1
68,78,100,100,78,75,59,50,1
72,78,100,100,96,81,84,54,1
80,95,100,100,98,75,96,50,1
74,99,100,100,85,75,65,49,1
67,75,100,100,96,81,77,54,1
61,85,95,100,100,91,82,61,1
68,82,100,100,100,87,81,58,1
70,83,100,100,91,74,82,49,1
66,90,100,100,80,74,59,48,1
92,97,100,100,76,75,55,50,1
90,100,56,92,46,66,51,40,1
56,100,46,57,47,15,100,11,1
60,77,91,100,100,84,86,56,1
67,78,100,100,89,83,75,56,1
65,94,100,100,91,75,82,50,1
48,49,76,73,100,100,94,73,1
74,100,100,93,97,69,97,46,1
92,84,100,100,84,71,71,42,1
68,78,100,100,91,91,67,62,1
75,99,100,100,88,75,78,48,1
48,79,90,100,100,81,85,54,1
89,100,100,90,81,67,58,45,1
66,79,100,100,76,75,50,51,1
58,74,92,100,100,90,78,59,1
57,84,94,100,100,79,87,52,1
73,90,79,100,81,74,85,49,1
100,100,91,81,79,61,73,39,1
100,100,88,88,81,66,77,43,1
58,97,65,100,58,73,50,48,1
61,73,100,100,91,88,61,59,1
68,82,100,100,77,75,57,51,1
100,100,100,80,81,60,38,40,1
73,98,100,100,92,74,84,49,1
52,83,100,100,94,78,67,52,1
67,77,100,100,100,82,82,53,1
68,82,100,100,85,75,66,49,1
68,82,100,100,94,77,82,50,1
47,83,82,100,100,94,77,63,1
55,100,49,62,44,24,2,0,1
73,90,100,100,89,74,82,47,1
67,80,99,100,100,75,100,49,1
61,70,100,100,100,96,89,64,1
73,100,63,58,52,16,19,8,1
70,96,100,100,92,75,86,50,1
60,100,50,65,47,29,15,0,1
59,82,100,100,84,76,67,51,1
100,100,86,88,71,63,67,37,1
73,84,100,100,88,75,81,50,1
100,100,95,92,80,69,73,46,1
70,73,100,100,90,89,66,60,1
69,83,100,100,97,75,87,50,1
100,100,75,77,75,53,85,30,1
82,77,100,100,71,76,59,50,1
77,99,100,100,88,74,73,47,1
61,91,100,100,75,75,52,51,1
79,100,75,82,67,46,56,11,1
54,90,100,100,76,75,49,50,1
53,84,93,100,100,79,85,53,1
94,100,100,85,79,64,54,42,1
100,100,96,88,87,66,85,44,1
41,71,78,96,100,100,75,67,1
69,71,100,100,97,91,77,60,1
89,100,82,58,82,17,39,1,1
61,78,100,100,88,81,71,54,1
50,80,80,100,100,96,87,64,1
76,78,100,100,80,74,61,47,1
50,63,74,81,97,100,100,78,1
77,100,100,99,84,74,64,49,1
60,73,100,100,87,87,64,58,1
66,100,59,98,59,68,68,38,1
65,82,95,100,100,92,80,62,1
100,100,74,83,43,62,13,42,1
64,75,93,100,100,97,91,64,1
49,74,82,98,100,100,78,67,1
100,100,97,91,71,68,46,46,1
83,90,100,100,93,74,86,48,1
69,80,100,100,94,78,88,51,1
65,84,100,100,83,75,62,50,1
74,90,100,100,89,74,78,47,1
59,100,61,79,64,58,72,37,1
74,100,100,98,80,74,67,49,1
77,99,100,100,78,76,57,51,1
100,100,100,100,79,76,57,50,1
67,82,100,100,75,76,51,51,1
67,78,99,100,100,88,79,58,1
83,83,100,100,73,76,50,51,1
52,81,92,100,100,82,80,55,1
100,100,96,94,63,71,37,47,1
70,95,94,100,93,75,89,50,1
96,100,100,84,94,60,88,35,1
88,87,100,100,76,75,53,50,1
66,82,100,100,77,76,55,51,1
68,77,100,100,96,76,77,50,1
62,80,100,100,79,76,55,51,1
67,82,100,100,88,75,72,49,1
77,76,100,100,83,73,73,47,1
78,86,100,100,71,75,43,50,1
70,100,73,80,67,41,55,3,1
43,79,86,100,100,93,77,63,1
57,80,100,100,84,75,81,50,1
97,98,100,100,69,75,40,50,1
21,100,27,67,54,20,2,0,1
55,84,100,100,73,75,55,50,1
100,100,75,80,50,60,25,40,1
100,93,98,51,98,9,22,0,1
100,100,89,58,83,16,15,0,1
42,100,43,58,55,17,0,0,1
73,75,100,100,73,78,48,52,1
76,100,100,99,78,74,57,49,1
100,100,88,95,60,72,36,48,1
100,100,100,99,79,71,74,42,1
47,86,39,48,45,12,100,8,1
100,100,81,73,77,45,74,17,1
45,89,100,100,88,75,79,50,1
11,70,2,80,19,33,0,0,1
30,100,31,100,44,44,18,0,1
21,74,52,100,65,46,53,0,1
59,76,100,100,67,77,44,51,1
53,100,46,58,38,16,0,5,1
50,88,36,46,24,5,0,5,1
100,100,88,85,62,64,50,42,1
29,100,32,76,34,25,0,0,1
42,82,90,100,100,80,80,54,1
59,100,58,62,59,21,100,14,1
48,78,41,36,21,0,0,3,1
66,98,50,55,35,12,0,7,1
100,100,98,90,82,62,75,35,1
32,72,27,39,44,7,100,0,1
100,100,79,72,65,44,53,15,1
100,100,88,69,73,38,56,7,1
100,100,91,58,91,16,49,0,1
77,98,73,60,69,22,29,0,1
100,100,90,82,68,61,44,40,1
71,100,61,56,48,13,0,1,1
100,100,81,74,74,47,69,20,1
44,100,42,59,37,18,0,0,1
45,82,46,32,20,0,0,1,1
52,74,47,27,91,0,100,5,1
71,100,57,58,46,16,0,0,1
36,85,41,47,42,9,0,0,1
10,96,16,48,24,2,0,0,1
62,87,55,42,41,3,0,0,1
54,100,27,87,38,37,40,0,1
32,100,45,52,63,7,0,0,1
100,100,83,80,59,60,41,40,1
46,82,94,100,100,80,78,53,1
57,88,49,35,31,0,0,6,1
51,93,46,54,40,15,0,1,1
100,100,72,80,44,60,17,40,1
62,100,56,58,51,17,0,4,1
59,100,52,62,39,25,0,0,1
62,68,53,27,32,0,0,2,1
100,100,95,87,81,59,71,30,1
77,100,64,63,48,26,0,0,1
100,100,89,60,85,20,45,0,1
100,100,79,80,52,60,29,40,1
100,100,85,80,56,61,29,41,1
64,78,48,34,29,0,0,7,1
44,92,43,52,39,12,0,0,1
62,71,100,100,88,93,55,62,1
41,100,40,55,46,10,0,0,1
100,100,75,71,56,42,35,13,1
37,99,45,89,51,34,24,2,1
92,83,100,100,73,76,49,50,1
100,100,90,81,74,50,66,18,1
100,100,85,81,59,61,38,41,1
80,100,100,98,67,74,30,50,1
100,100,91,90,63,68,37,46,1
73,99,56,63,50,26,21,0,1
100,95,98,55,96,16,25,2,1
100,100,84,73,79,46,66,18,1
98,100,100,83,87,58,79,33,1
52,92,42,53,38,14,0,0,1
41,95,39,55,37,16,0,0,1
100,100,76,71,70,40,55,10,1
73,89,56,40,37,0,0,8,1
100,100,88,70,74,41,52,13,1
60,100,55,57,42,15,0,0,1
97,98,100,100,70,75,40,50,1
62,99,55,61,44,23,0,0,1
37,76,92,100,100,80,84,53,1
18,87,12,97,36,44,16,0,1
58,76,54,31,78,0,100,6,1
63,91,57,50,48,10,0,1,1
75,97,100,100,70,75,45,50,1
96,100,100,93,70,70,39,47,1
53,84,100,100,83,74,66,47,1
77,82,61,34,39,0,0,8,1
100,100,80,80,60,60,41,40,1
81,90,63,46,47,7,0,2,1
37,72,38,38,28,5,0,0,1
85,100,70,60,59,21,0,0,1
82,97,73,56,75,15,9,0,1
88,77,75,62,50,46,25,30,1
74,99,61,57,48,16,0,3,1
79,100,57,64,38,30,0,0,1
100,100,76,77,62,51,57,24,1
49,61,40,21,19,0,0,4,1
100,100,65,80,30,60,9,41,1
100,100,81,80,60,60,38,40,1
73,81,57,39,46,0,0,10,1
67,71,54,31,41,1,0,0,1
52,100,46,44,36,0,0,13,1
47,99,100,100,84,75,75,50,1
65,66,54,24,28,0,0,6,1
83,86,67,46,51,6,0,0,1
55,100,40,67,58,14,0,1,1
100,100,89,75,79,49,76,24,1
43,74,53,82,41,22,0,0,1
100,100,78,75,66,49,64,23,1
100,100,88,85,60,64,38,42,1
28,74,63,100,62,50,59,3,1
76,91,59,57,37,24,0,0,1
100,100,83,80,59,60,34,40,1
75,76,61,35,47,0,0,8,1
100,100,65,80,42,61,19,41,1
93,83,82,56,84,28,71,2,1
62,66,49,26,30,0,0,2,1
68,79,56,33,30,0,0,1,1
94,75,85,35,59,2,0,0,1
100,100,89,66,78,30,55,0,1
84,100,68,62,57,24,0,0,1
73,83,62,49,44,15,0,0,1
83,88,73,48,53,11,0,0,1
72,76,56,60,39,45,22,30,1
84,86,70,51,47,19,0,0,1
60,83,65,100,72,55,87,10,1
100,100,100,91,65,68,29,46,1
42,75,29,45,15,15,37,0,2
72,100,70,73,32,48,5,18,2
59,100,72,73,53,42,31,12,2
89,87,74,61,45,37,15,14,2
69,99,79,63,59,28,28,0,2
67,85,60,44,31,19,26,20,2
73,100,100,81,85,55,58,32,2
76,91,70,65,38,43,11,20,2
64,85,43,61,9,44,23,21,2
65,97,61,63,40,31,6,5,2
59,78,61,52,46,27,22,5,2
51,80,43,50,24,22,12,2,2
68,100,100,88,94,62,74,39,2
40,91,28,59,7,31,13,8,2
68,94,74,63,49,34,6,9,2
95,92,87,67,55,44,18,23,2
63,73,47,34,14,4,4,10,2
77,77,59,50,29,26,0,2,2
60,93,59,64,41,38,19,12,2
